ID,Date vue,Catégorie,Titre,Détails,Source,Type source,Pays,Date vente / publication,Estimation,Prix,Statut,URL,Intérêt (à remplir),Mes notes
B0001,2026-08-25,Peinture,Grenadier de la Garde en sentinelle,"HST signée « H. BELLANGE », datée 1829, 35 × 53 cm (67 × 85 encadrée)",Galerie Dantan (Achicourt),Marchand,FR,,,2 200 €,En vente,https://en.dantan.store/product-page/joseph-louis-hippolyte-bellange-huile-sur-toile-grenadier-sign%C3%A9e-1800-1866,,
B0002,2026-08-25,Peinture,The Four Militaries (attribué),"HST 22 × 31 cm, milieu XIXe, attribution non documentée par une signature",1stDibs — Gijsel Gallery (Genève),Marketplace,CH,,,1 152 $,En vente,https://www.1stdibs.com/art/paintings/portrait-paintings/hippolyte-bellange-four-militaries-hippolyte-bellange-antique-oil-on-canvas/id-a_12523192/,,
B0003,2026-08-25,Aquarelle-gouache,Scène de rue,"Dessin/aquarelle signé « hte Bellangé », daté 1822, 22 × 17 cm, cadre doré XIXe",Proantic — Galerie Mazarini (Lyon),Marchand,FR,,,2 350 €,En vente,https://www.proantic.com/en/1546464-bellange-hippolyte-1800-1866-quotstreet-scenequot-drawingwatercolor-signed-and-dated-be.html,,
B0004,2026-08-25,Aquarelle-gouache,Le Camp du duc d'Orléans près de Compiègne,"Aquarelle signée « hte. Bgé. », datée 7bre 1836, 29 × 38 cm ; faite avec Raffet ; prov. probable vente après décès 1867",Galerie La Nouvelle Athènes (Paris),Marchand,FR,2025-03-07,,Sur demande,En vente,https://lanouvelleathenes.fr/2025/03/07/hippolyte-bellange-1800-1866/,,
B0005,2026-08-25,Aquarelle-gouache,La Vivandière de Wagram,"Aquarelle gouachée signée, 1862, 22 × 30,5 cm ; exposée Beaux-Arts 1867 n°157",Galerie Christian Le Serbon (Paris),Marchand,FR,,,Sur demande,En vente,https://www.galerie-leserbon.fr/hippolyte-bellange-vivandiere-wagram/,,
B0006,2026-08-25,Dessin,Bataille de Sébastopol,"Lavis brun signé, annoté au dos « Sébastopol 1855 », 25,5 × 82,5 cm, pli central",Proantic — Galerie Mazarini (Lyon),Marchand,FR,,,1 450 €,En vente,https://www.proantic.com/en/657821-bellange-hippolyte-1800-1866-quotbattle-of-sebastopolquot-drawing-brown-wash-signed-anno.html,,
B0007,2026-08-25,Dessin,Figure,"Encre de Chine, 7 × 5,5 cm, milieu XIXe",1stDibs — Wallector (Rome),Marketplace,IT,,,Sur demande,En vente,https://www.1stdibs.com/art/drawings-watercolor-paintings/figurative-drawings-watercolors/hippolyte-bellange-figure-original-drawing-china-ink-hippolyte-bellange-mid-19th-century/id-a_10777412/,,
B0008,2026-08-25,Lithographie-estampe,"Album « Souvenirs militaires » (1834), Gihaut — 12 planches + couverture","En feuilles, 340 × 510 mm : Jemmapes, Mont Saint-Bernard, Marengo, Arcole, Moskowa, Montereau, Bastan, Landrecies, Retour de l'île d'Elbe, Guadarrama, Valmy, camp de Boulogne",Estampes MAS,Marchand,FR,,,2 000 €,En vente,https://www.estampes-mas.fr/produit/bellange-souvenirs-militaires-album-1834/,,
B0009,2026-08-25,Lithographie-estampe,Bataille de la Moskowa (modèle de coloris),"Litho vers 1832, coupée au sujet, 185 × 300 mm",Estampes MAS,Marchand,FR,,,300 €,En vente,https://www.estampes-mas.fr/produit/bellange-bataille-de-la-moskowa/,,
B0010,2026-08-25,Lithographie-estampe,Bataille de Marengo (modèle de coloris),"Litho signée/datée 1832, 190 × 310 mm",Estampes MAS,Marchand,FR,,,Non affiché,En vente,https://www.estampes-mas.fr/produit/bellange-bataille-de-marengo/,,
